year,race,race.code,cause.of.death,cause.of.death.code,state,state.code,deaths,population,crude.rate,crude.rate.lower.95.ci,crude.rate.upper.95.ci,percent.total.deaths
1999,Black or African American,2054-5,Discharge from other and unspecified firearms,W34,Alabama,1,13,1162673,NaN,0.6,1.91,0.00%
1999,Black or African American,2054-5,Discharge from other and unspecified firearms,W34,Mississippi,28,12,1038253,NaN,0.6,2.02,0.00%
1999,Black or African American,2054-5,Discharge from other and unspecified firearms,W34,Pennsylvania,42,10,1279925,NaN,0.37,1.44,0.00%
1999,Black or African American,2054-5,Intentional self-harm by handgun discharge,X72,Alabama,1,13,1162673,NaN,0.6,1.91,0.00%
1999,Black or African American,2054-5,Intentional self-harm by handgun discharge,X72,California,6,39,2502469,1.56,1.11,2.13,0.01%
1999,Black or African American,2054-5,Intentional self-harm by handgun discharge,X72,Georgia,13,17,2343624,NaN,0.42,1.16,0.00%
1999,Black or African American,2054-5,Intentional self-harm by handgun discharge,X72,Indiana,18,10,525171,NaN,0.91,3.5,0.00%
1999,Black or African American,2054-5,Intentional self-harm by handgun discharge,X72,Missouri,29,19,642019,NaN,1.78,4.62,0.00%
1999,Black or African American,2054-5,Intentional self-harm by handgun discharge,X72,Virginia,51,26,1422517,1.83,1.19,2.68,0.00%
1999,Black or African American,2054-5,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Michigan,26,11,1455082,NaN,0.38,1.35,0.00%
1999,Black or African American,2054-5,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,North Carolina,37,11,1758625,NaN,0.31,1.12,0.00%
1999,Black or African American,2054-5,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Virginia,51,11,1422517,NaN,0.39,1.38,0.00%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,Alabama,1,29,1162673,2.49,1.67,3.58,0.01%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,California,6,29,2502469,1.16,0.78,1.66,0.01%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,Florida,12,54,2419083,2.23,1.68,2.91,0.01%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,Georgia,13,75,2343624,3.2,2.52,4.01,0.01%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,Illinois,17,62,1923260,3.22,2.47,4.13,0.01%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,Louisiana,22,57,1461433,3.9,2.95,5.05,0.01%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,Maryland,24,34,1503532,2.26,1.57,3.16,0.01%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,Michigan,26,50,1455082,3.44,2.55,4.53,0.01%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,Mississippi,28,25,1038253,2.41,1.56,3.55,0.00%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,New Jersey,34,18,1231242,NaN,0.87,2.31,0.00%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,New York,36,35,3410768,1.03,0.71,1.43,0.01%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,North Carolina,37,44,1758625,2.5,1.82,3.36,0.01%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,Ohio,39,38,1347742,2.82,2,3.87,0.01%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,Oklahoma,40,16,277057,NaN,3.3,9.38,0.00%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,Pennsylvania,42,34,1279925,2.66,1.84,3.71,0.01%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,South Carolina,45,19,1192652,NaN,0.96,2.49,0.00%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,Tennessee,47,34,939791,3.62,2.51,5.06,0.01%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,Texas,48,54,2461293,2.19,1.65,2.86,0.01%
1999,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,Virginia,51,20,1422517,1.41,0.86,2.17,0.00%
1999,Black or African American,2054-5,Assault by handgun discharge,X93,Alabama,1,28,1162673,2.41,1.6,3.48,0.01%
1999,Black or African American,2054-5,Assault by handgun discharge,X93,Arkansas,5,10,424438,NaN,1.13,4.33,0.00%
1999,Black or African American,2054-5,Assault by handgun discharge,X93,California,6,82,2502469,3.28,2.61,4.07,0.02%
1999,Black or African American,2054-5,Assault by handgun discharge,X93,Florida,12,10,2419083,NaN,0.2,0.76,0.00%
1999,Black or African American,2054-5,Assault by handgun discharge,X93,Georgia,13,21,2343624,0.9,0.55,1.37,0.00%
1999,Black or African American,2054-5,Assault by handgun discharge,X93,Illinois,17,24,1923260,1.25,0.8,1.86,0.00%
