year,cause,cause.code,state,deaths,population,crude.rate,crude.rate.lower.95.ci,crude.rate.upper.95.ci,percent.total.deaths
1999,Handgun discharge,W32,California,20,28994903,0.06898,0.04213,0.10653,0.00384%
1999,Handgun discharge,W32,Mississippi,10,2799088,NaN,0.17132,0.65701,0.00192%
1999,Handgun discharge,W32,Washington,10,5360926,NaN,0.08945,0.34305,0.00192%
1999,"Rifle, shotgun and larger firearm discharge",W33,Texas,13,19819906,NaN,0.03492,0.11216,0.00249%
1999,Discharge from other and unspecified firearms,W34,Alabama,47,4373981,1.07454,0.78953,1.42891,0.00901%
1999,Discharge from other and unspecified firearms,W34,Arizona,12,4638201,NaN,0.13368,0.45193,0.00230%
1999,Discharge from other and unspecified firearms,W34,Arkansas,20,2612382,0.76558,0.46764,1.18238,0.00384%
1999,Discharge from other and unspecified firearms,W34,California,22,28994903,0.07588,0.04755,0.11488,0.00422%
1999,Discharge from other and unspecified firearms,W34,Florida,11,15397806,NaN,0.03566,0.12782,0.00211%
1999,Discharge from other and unspecified firearms,W34,Georgia,15,7847232,NaN,0.10698,0.31527,0.00288%
1999,Discharge from other and unspecified firearms,W34,Illinois,12,11875025,NaN,0.05221,0.17652,0.00230%
1999,Discharge from other and unspecified firearms,W34,Indiana,20,5965098,0.33528,0.2048,0.51782,0.00384%
1999,Discharge from other and unspecified firearms,W34,Kentucky,29,3980479,0.72856,0.48793,1.04633,0.00556%
1999,Discharge from other and unspecified firearms,W34,Louisiana,21,4376994,0.47978,0.29699,0.7334,0.00403%
1999,Discharge from other and unspecified firearms,W34,Mississippi,28,2799088,1.00033,0.66471,1.44575,0.00537%
1999,Discharge from other and unspecified firearms,W34,New York,16,17646531,NaN,0.05183,0.14724,0.00307%
1999,Discharge from other and unspecified firearms,W34,North Carolina,21,7729492,0.27169,0.16818,0.4153,0.00403%
1999,Discharge from other and unspecified firearms,W34,Ohio,26,11164200,0.23289,0.15213,0.34123,0.00499%
1999,Discharge from other and unspecified firearms,W34,Oklahoma,22,3077238,0.71493,0.44804,1.08241,0.00422%
1999,Discharge from other and unspecified firearms,W34,Pennsylvania,33,12014508,0.27467,0.18907,0.38574,0.00633%
1999,Discharge from other and unspecified firearms,W34,South Carolina,23,3922493,0.58636,0.3717,0.87983,0.00441%
1999,Discharge from other and unspecified firearms,W34,Tennessee,42,5565118,0.7547,0.54392,1.02014,0.00806%
